z3 auto {
  short: z3_auto
  graph: z3 auto
  cmd: "z3"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
001 "clauses/lia/fpice/inductive2.smt2" 0.015492831 0
000 "clauses/lia/fpice/inductive.smt2" 0.032975959 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.016590604 0
005 "clauses/lia/fpice/inductive5.smt2" 0.019439053 0
004 "clauses/lia/fpice/inductive4.smt2" 0.020296051 0
003 "clauses/lia/fpice/inductive3.smt2" 0.014304525 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.011466393 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.012407846 0
008 "clauses/lia/fpice/inductive6.smt2" 0.004850353 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.014334300 0
014 "clauses/lia/mochi/ack.smt2" 0.014608094 0
010 "clauses/lia/mochi/a-copy-print.smt2" 0.218128899 10
015 "clauses/lia/mochi/apply.smt2" 0.014379502 10
013 "clauses/lia/mochi/a-max.smt2" 0.097389331 0
012 "clauses/lia/mochi/a-init.smt2" 0.097381838 0
017 "clauses/lia/mochi/bcopy.smt2" 0.046748524 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.027043764 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.012836729 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.012972451 0
021 "clauses/lia/mochi/bcopy5.smt2" 0.192651024 10
022 "clauses/lia/mochi/bsearch.smt2" 0.022271264 0
009 "clauses/lia/fpice/repeat.smt2" timeout 124
024 "clauses/lia/mochi/dotprod.smt2" 0.025282027 0
016 "clauses/lia/mochi/array_init.smt2" 0.109319918 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.016528991 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.014196676 0
026 "clauses/lia/mochi/dotprod3.smt2" 0.015192178 0
028 "clauses/lia/mochi/dotprod5.smt2" 0.198338133 10
029 "clauses/lia/mochi/dotprod_lin.smt2" 0.025098397 0
