z3 duality {
  short: z3_duality
  graph: z3 duality
  cmd: "z3 fixedpoint.engine=duality"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
001 "clauses/lia/fpice/inductive2.smt2" 0.031170221 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.046448712 0
005 "clauses/lia/fpice/inductive5.smt2" 0.031277704 0
003 "clauses/lia/fpice/inductive3.smt2" 0.035823027 0
004 "clauses/lia/fpice/inductive4.smt2" 0.092538314 0
008 "clauses/lia/fpice/inductive6.smt2" 0.044180066 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.040355410 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.044125631 0
009 "clauses/lia/fpice/repeat.smt2" 0.100089863 0
014 "clauses/lia/mochi/ack.smt2" 0.050322646 0
000 "clauses/lia/fpice/inductive.smt2" 0.641681493 0
015 "clauses/lia/mochi/apply.smt2" 0.120433516 10
020 "clauses/lia/mochi/bcopy4.smt2" 0.049899890 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.155488472 0
012 "clauses/lia/mochi/a-init.smt2" 1.516936054 0
011 "clauses/lia/mochi/a-dotprod.smt2" timeout 124
010 "clauses/lia/mochi/a-copy-print.smt2" timeout 124
013 "clauses/lia/mochi/a-max.smt2" timeout 124
025 "clauses/lia/mochi/dotprod2.smt2" 0.079504447 0
017 "clauses/lia/mochi/bcopy.smt2" timeout 124
018 "clauses/lia/mochi/bcopy2.smt2" timeout 124
023 "clauses/lia/mochi/copy_intro.smt2" 0.029243669 0
016 "clauses/lia/mochi/array_init.smt2" timeout 124
022 "clauses/lia/mochi/bsearch.smt2" timeout 124
021 "clauses/lia/mochi/bcopy5.smt2" timeout 124
030 "clauses/lia/mochi/enc-rev_accum.smt2" 0.197815497 0
024 "clauses/lia/mochi/dotprod.smt2" timeout 124
032 "clauses/lia/mochi/enc-zip.smt2" 0.060585890 0
031 "clauses/lia/mochi/enc-rev_append.smt2" 4.248137040 0
026 "clauses/lia/mochi/dotprod3.smt2" timeout 124
