z3 pdr {
  short: z3_pdr
  graph: z3 pdr
  cmd: "z3 fixedpoint.engine=pdr"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
001 "clauses/lia/fpice/inductive2.smt2" 0.015143824 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.016158831 0
000 "clauses/lia/fpice/inductive.smt2" 0.039128855 0
003 "clauses/lia/fpice/inductive3.smt2" 0.018049907 0
004 "clauses/lia/fpice/inductive4.smt2" 0.021471272 0
005 "clauses/lia/fpice/inductive5.smt2" 0.026121772 0
008 "clauses/lia/fpice/inductive6.smt2" 0.007297551 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.010012146 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.015139772 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.014838407 0
014 "clauses/lia/mochi/ack.smt2" 0.014323820 0
010 "clauses/lia/mochi/a-copy-print.smt2" 0.212277243 10
013 "clauses/lia/mochi/a-max.smt2" 0.097509693 0
015 "clauses/lia/mochi/apply.smt2" 0.012364151 10
012 "clauses/lia/mochi/a-init.smt2" 0.091315263 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.024269237 0
017 "clauses/lia/mochi/bcopy.smt2" 0.047156132 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.012359985 0
016 "clauses/lia/mochi/array_init.smt2" 0.119817833 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.012630936 0
022 "clauses/lia/mochi/bsearch.smt2" 0.021915510 0
021 "clauses/lia/mochi/bcopy5.smt2" 0.201833061 10
024 "clauses/lia/mochi/dotprod.smt2" 0.025270791 0
009 "clauses/lia/fpice/repeat.smt2" timeout 124
026 "clauses/lia/mochi/dotprod3.smt2" 0.014052887 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.017430633 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.014285088 0
028 "clauses/lia/mochi/dotprod5.smt2" 0.205493492 10
029 "clauses/lia/mochi/dotprod_lin.smt2" 0.027569409 0
