z3 spacer {
  short: z3_spacer
  graph: z3 spacer
  cmd: "z3 fixedpoint.engine=spacer"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
001 "clauses/lia/fpice/inductive2.smt2" 0.015594609 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.015166630 0
000 "clauses/lia/fpice/inductive.smt2" 0.032008611 0
003 "clauses/lia/fpice/inductive3.smt2" 0.016964917 0
005 "clauses/lia/fpice/inductive5.smt2" 0.019291023 0
004 "clauses/lia/fpice/inductive4.smt2" 0.020527744 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.012252665 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.011973344 0
008 "clauses/lia/fpice/inductive6.smt2" 0.006090607 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.020621336 0
009 "clauses/lia/fpice/repeat.smt2" 0.016656544 0
014 "clauses/lia/mochi/ack.smt2" 0.017302762 0
013 "clauses/lia/mochi/a-max.smt2" 0.066977880 0
010 "clauses/lia/mochi/a-copy-print.smt2" 0.239375663 10
015 "clauses/lia/mochi/apply.smt2" 0.014662157 10
012 "clauses/lia/mochi/a-init.smt2" 0.075881036 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.026000629 0
017 "clauses/lia/mochi/bcopy.smt2" 0.077880373 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.013262789 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.011403071 0
016 "clauses/lia/mochi/array_init.smt2" 0.096991460 0
022 "clauses/lia/mochi/bsearch.smt2" 0.029799520 0
021 "clauses/lia/mochi/bcopy5.smt2" 0.229755662 10
024 "clauses/lia/mochi/dotprod.smt2" 0.041395289 0
026 "clauses/lia/mochi/dotprod3.smt2" 0.014665391 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.018506055 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.014185302 0
028 "clauses/lia/mochi/dotprod5.smt2" 0.241397784 10
029 "clauses/lia/mochi/dotprod_lin.smt2" 0.024686661 0
