FpIce Inactive Red {
  short: fpice_inactive_red
  graph: FpIce Inactive Red
  cmd: "fpice infer --vc-reduction"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "--- Correct Type found" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
elif [ `cat $err | grep -e "Failure.*is not valid\!" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 0, safe, Safe
  success: 10, unsafe, Unsafe
}
timeout: 100.000000000
#
000 "caml/lia/fpice/inductive.ml" 0.356024138 0
001 "caml/lia/fpice/inductive2.ml" 0.030505288 0
002 "caml/lia/fpice/inductive3-2.ml" 0.044342415 0
003 "caml/lia/fpice/inductive3.ml" 0.031623673 0
004 "caml/lia/fpice/inductive4.ml" 0.267723317 0
005 "caml/lia/fpice/inductive5.ml" 0.033176586 0
006 "caml/lia/fpice/inductive6-2.ml" 0.022612538 0
007 "caml/lia/fpice/inductive6-3.ml" 0.028610987 0
008 "caml/lia/fpice/inductive6.ml" 0.019025427 0
009 "caml/lia/fpice/repeat.ml" 0.069010229 0
010 "caml/lia/mochi/a-copy-print.ml" timeout 124
011 "caml/lia/mochi/a-dotprod.ml" 0.117288987 0
012 "caml/lia/mochi/a-init.ml" 2.247535796 0
013 "caml/lia/mochi/a-max.ml" 0.267023165 0
014 "caml/lia/mochi/ack.ml" 0.055615048 0
015 "caml/lia/mochi/apply.ml" error 2
016 "caml/lia/mochi/array_init.ml" 3.111936266 0
017 "caml/lia/mochi/bcopy.ml" 0.078824763 0
018 "caml/lia/mochi/bcopy2.ml" 0.137466686 0
019 "caml/lia/mochi/bcopy3.ml" 0.079549250 0
020 "caml/lia/mochi/bcopy4.ml" 0.187266481 0
021 "caml/lia/mochi/bcopy5.ml" timeout 124
022 "caml/lia/mochi/bsearch.ml" 0.220326761 0
023 "caml/lia/mochi/copy_intro.ml" 0.020030371 0
024 "caml/lia/mochi/dotprod.ml" 0.684491773 0
025 "caml/lia/mochi/dotprod2.ml" 0.042353156 0
026 "caml/lia/mochi/dotprod3.ml" 0.081409666 0
027 "caml/lia/mochi/dotprod4.ml" 0.118059602 0
028 "caml/lia/mochi/dotprod5.ml" timeout 124
029 "caml/lia/mochi/dotprod_lin.ml" 0.181639038 0
030 "caml/lia/mochi/enc-rev_accum.ml" timeout 124
031 "caml/lia/mochi/enc-rev_append.ml" 0.093450113 0
032 "caml/lia/mochi/enc-zip.ml" 0.031534741 0
033 "caml/lia/mochi/enc-zip3.ml" 0.052470942 0
034 "caml/lia/mochi/enc-zip4.ml" 0.044180573 0
035 "caml/lia/mochi/enc-zip_map.ml" 0.098960333 0
036 "caml/lia/mochi/enc-zip_map2.ml" 0.088911246 0
037 "caml/lia/mochi/enc-zip_unzip.ml" timeout 124
038 "caml/lia/mochi/enc-zipmap.ml" 0.079455913 0
039 "caml/lia/mochi/exc-fact.ml" 0.025847077 0
040 "caml/lia/mochi/exc-simple.ml" 0.018275667 0
041 "caml/lia/mochi/exception.ml" 0.018487196 0
