hoice {
  short: hoice
  graph: hoice
  cmd: "hoice"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
003 "clauses/lia/fpice/inductive3.smt2" 0.084993501 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.073960322 0
001 "clauses/lia/fpice/inductive2.smt2" 0.067454564 0
008 "clauses/lia/fpice/inductive6.smt2" 0.157839137 0
005 "clauses/lia/fpice/inductive5.smt2" 0.084296793 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.186404865 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.159601486 0
009 "clauses/lia/fpice/repeat.smt2" 0.230243483 0
015 "clauses/lia/mochi/apply.smt2" 0.133198465 10
000 "clauses/lia/fpice/inductive.smt2" 0.192462118 0
004 "clauses/lia/fpice/inductive4.smt2" 0.300199242 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.261174053 0
023 "clauses/lia/mochi/copy_intro.smt2" 0.119738331 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.223801711 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.398758129 0
014 "clauses/lia/mochi/ack.smt2" 0.583153258 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.378535477 0
013 "clauses/lia/mochi/a-max.smt2" 0.853870532 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.301150679 0
026 "clauses/lia/mochi/dotprod3.smt2" 0.275373972 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.372881236 0
021 "clauses/lia/mochi/bcopy5.smt2" 0.756810925 10
032 "clauses/lia/mochi/enc-zip.smt2" 0.084229616 0
031 "clauses/lia/mochi/enc-rev_append.smt2" 0.124730775 0
033 "clauses/lia/mochi/enc-zip3.smt2" 0.106400793 0
034 "clauses/lia/mochi/enc-zip4.smt2" 0.068716361 0
035 "clauses/lia/mochi/enc-zip_map.smt2" 0.201351223 0
028 "clauses/lia/mochi/dotprod5.smt2" 0.772939172 10
040 "clauses/lia/mochi/exc-simple.smt2" 0.064243363 0
012 "clauses/lia/mochi/a-init.smt2" 1.543175173 0
036 "clauses/lia/mochi/enc-zip_map2.smt2" 0.332652599 0
029 "clauses/lia/mochi/dotprod_lin.smt2" 0.481865457 0
041 "clauses/lia/mochi/exception.smt2" 0.069329197 0
039 "clauses/lia/mochi/exc-fact.smt2" 0.125125419 0
043 "clauses/lia/mochi/fib.smt2" 0.058698237 0
045 "clauses/lia/mochi/flow.smt2" 0.049973066 0
016 "clauses/lia/mochi/array_init.smt2" 1.885209722 0
046 "clauses/lia/mochi/fxx.smt2" 0.041630174 0
038 "clauses/lia/mochi/enc-zipmap.smt2" 0.190107394 0
042 "clauses/lia/mochi/fact_exn.smt2" 0.129249423 0
050 "clauses/lia/mochi/hrec.smt2" 0.127282653 0
048 "clauses/lia/mochi/gib2.smt2" 0.133159885 0
047 "clauses/lia/mochi/gib.smt2" 0.160000422 0
054 "clauses/lia/mochi/intro1.smt2" 0.081894411 0
049 "clauses/lia/mochi/hors.smt2" 0.277693769 0
055 "clauses/lia/mochi/intro2.smt2" 0.068244145 0
