hoice debug {
  short: hoice_debug
  graph: hoice debug
  cmd: "hoice_dbg"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
003 "clauses/lia/fpice/inductive3.smt2" 0.884115068 0
002 "clauses/lia/fpice/inductive3-2.smt2" 1.043619498 0
001 "clauses/lia/fpice/inductive2.smt2" 1.090418366 0
008 "clauses/lia/fpice/inductive6.smt2" 1.231039624 0
005 "clauses/lia/fpice/inductive5.smt2" 1.426795200 0
006 "clauses/lia/fpice/inductive6-2.smt2" 1.483294534 0
007 "clauses/lia/fpice/inductive6-3.smt2" 1.647015306 0
009 "clauses/lia/fpice/repeat.smt2" 2.411238300 0
015 "clauses/lia/mochi/apply.smt2" 1.405189864 10
000 "clauses/lia/fpice/inductive.smt2" 3.504426937 0
004 "clauses/lia/fpice/inductive4.smt2" 3.594667513 0
011 "clauses/lia/mochi/a-dotprod.smt2" 4.835504397 0
023 "clauses/lia/mochi/copy_intro.smt2" 1.241268069 0
019 "clauses/lia/mochi/bcopy3.smt2" 4.470956167 0
018 "clauses/lia/mochi/bcopy2.smt2" 5.869298325 0
014 "clauses/lia/mochi/ack.smt2" 6.658200293 0
020 "clauses/lia/mochi/bcopy4.smt2" 6.275528132 0
013 "clauses/lia/mochi/a-max.smt2" 10.231729894 0
027 "clauses/lia/mochi/dotprod4.smt2" 5.031968824 0
026 "clauses/lia/mochi/dotprod3.smt2" 5.339256378 0
025 "clauses/lia/mochi/dotprod2.smt2" 6.126008871 0
021 "clauses/lia/mochi/bcopy5.smt2" 10.610087230 10
032 "clauses/lia/mochi/enc-zip.smt2" 1.562586007 0
031 "clauses/lia/mochi/enc-rev_append.smt2" 2.507077784 0
033 "clauses/lia/mochi/enc-zip3.smt2" 2.205411433 0
034 "clauses/lia/mochi/enc-zip4.smt2" 1.540449168 0
012 "clauses/lia/mochi/a-init.smt2" 19.324302217 0
028 "clauses/lia/mochi/dotprod5.smt2" 10.451937795 10
035 "clauses/lia/mochi/enc-zip_map.smt2" 2.997609886 0
040 "clauses/lia/mochi/exc-simple.smt2" 0.968242567 0
036 "clauses/lia/mochi/enc-zip_map2.smt2" 4.637871985 0
029 "clauses/lia/mochi/dotprod_lin.smt2" 9.579829499 0
016 "clauses/lia/mochi/array_init.smt2" 21.095696806 0
041 "clauses/lia/mochi/exception.smt2" 1.398573590 0
039 "clauses/lia/mochi/exc-fact.smt2" 2.358722715 0
043 "clauses/lia/mochi/fib.smt2" 0.877153349 0
045 "clauses/lia/mochi/flow.smt2" 0.762495791 0
046 "clauses/lia/mochi/fxx.smt2" 0.748888227 0
038 "clauses/lia/mochi/enc-zipmap.smt2" 2.572102787 0
042 "clauses/lia/mochi/fact_exn.smt2" 1.838322951 0
050 "clauses/lia/mochi/hrec.smt2" 1.820547090 0
048 "clauses/lia/mochi/gib2.smt2" 3.441336834 0
047 "clauses/lia/mochi/gib.smt2" 3.787072665 0
049 "clauses/lia/mochi/hors.smt2" 4.437572982 0
054 "clauses/lia/mochi/intro1.smt2" 0.915866846 0
055 "clauses/lia/mochi/intro2.smt2" 0.853372376 0
