eldarica {
  short: eld
  graph: eldarica
  cmd: "eldarica -ssol"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check_eld on --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
001 "clauses/lia/fpice/inductive2.smt2" 1.100823436 0
002 "clauses/lia/fpice/inductive3-2.smt2" 1.245797964 0
000 "clauses/lia/fpice/inductive.smt2" 1.560357612 0
005 "clauses/lia/fpice/inductive5.smt2" 1.146942154 0
004 "clauses/lia/fpice/inductive4.smt2" 1.312086791 0
003 "clauses/lia/fpice/inductive3.smt2" 1.120801583 0
007 "clauses/lia/fpice/inductive6-3.smt2" 1.142332914 0
006 "clauses/lia/fpice/inductive6-2.smt2" 1.070078802 0
008 "clauses/lia/fpice/inductive6.smt2" 1.039279390 0
009 "clauses/lia/fpice/repeat.smt2" 1.490011874 0
010 "clauses/lia/mochi/a-copy-print.smt2" 4.375212702 0
012 "clauses/lia/mochi/a-init.smt2" 4.105613333 0
015 "clauses/lia/mochi/apply.smt2" 1.589945388 10
013 "clauses/lia/mochi/a-max.smt2" 2.412989881 0
017 "clauses/lia/mochi/bcopy.smt2" 3.678370121 0
018 "clauses/lia/mochi/bcopy2.smt2" 2.694297198 0
020 "clauses/lia/mochi/bcopy4.smt2" 1.413281911 0
021 "clauses/lia/mochi/bcopy5.smt2" 4.237473576 0
022 "clauses/lia/mochi/bsearch.smt2" error 2
023 "clauses/lia/mochi/copy_intro.smt2" 1.430451498 0
011 "clauses/lia/mochi/a-dotprod.smt2" timeout 124
014 "clauses/lia/mochi/ack.smt2" 1.795038248 0
016 "clauses/lia/mochi/array_init.smt2" timeout 124
019 "clauses/lia/mochi/bcopy3.smt2" 1.494104332 0
028 "clauses/lia/mochi/dotprod5.smt2" 4.739941004 0
029 "clauses/lia/mochi/dotprod_lin.smt2" 2.752183719 0
030 "clauses/lia/mochi/enc-rev_accum.smt2" 1.172920977 0
031 "clauses/lia/mochi/enc-rev_append.smt2" 2.229493210 0
