FpIce Inactive {
  short: fpice
  graph: FpIce Inactive
  cmd: "fpice infer"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "--- Correct Type found" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
elif [ `cat $err | grep -e "Failure.*is not valid\!" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
elif [ `cat $err | grep -e "contradiction found:" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
001 "caml/lia/fpice/inductive2.ml" 0.338207517 0
003 "caml/lia/fpice/inductive3.ml" 0.344153517 0
002 "caml/lia/fpice/inductive3-2.ml" 0.352061358 0
005 "caml/lia/fpice/inductive5.ml" 0.030332982 0
006 "caml/lia/fpice/inductive6-2.ml" 0.107146513 0
000 "caml/lia/fpice/inductive.ml" 0.648718504 0
007 "caml/lia/fpice/inductive6-3.ml" 0.089558442 0
008 "caml/lia/fpice/inductive6.ml" 0.103050598 0
004 "caml/lia/fpice/inductive4.ml" 0.467824119 0
009 "caml/lia/fpice/repeat.ml" 0.200436012 0
011 "caml/lia/mochi/a-dotprod.ml" 0.265505404 0
014 "caml/lia/mochi/ack.ml" 0.089388103 0
015 "caml/lia/mochi/apply.ml" 0.107079464 10
013 "caml/lia/mochi/a-max.ml" 1.322989609 0
012 "caml/lia/mochi/a-init.ml" 1.842250783 0
016 "caml/lia/mochi/array_init.ml" 2.398840245 0
010 "caml/lia/mochi/a-copy-print.ml" 4.478964825 0
018 "caml/lia/mochi/bcopy2.ml" 0.541841134 0
017 "caml/lia/mochi/bcopy.ml" 1.747459529 0
019 "caml/lia/mochi/bcopy3.ml" 0.253226483 0
020 "caml/lia/mochi/bcopy4.ml" 0.111437759 0
022 "caml/lia/mochi/bsearch.ml" 1.057639828 0
021 "caml/lia/mochi/bcopy5.ml" 1.460179267 0
023 "caml/lia/mochi/copy_intro.ml" 0.028376523 0
025 "caml/lia/mochi/dotprod2.ml" 0.082714102 0
026 "caml/lia/mochi/dotprod3.ml" 0.251108590 0
027 "caml/lia/mochi/dotprod4.ml" 0.240861911 0
028 "caml/lia/mochi/dotprod5.ml" 1.574810814 0
024 "caml/lia/mochi/dotprod.ml" 4.917034405 0
