FpIce Inactive Red {
  short: fpice_inactive_red
  graph: FpIce Inactive Red
  cmd: "fpice infer --vc-reduction"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "--- Correct Type found" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
elif [ `cat $err | grep -e "Failure.*is not valid\!" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
elif [ `cat $err | grep -e "contradiction found:" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "clauses/lia/fpice/inductive.smt2" 0.091770670 0
001 "clauses/lia/fpice/inductive2.smt2" 0.025341643 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.032310111 0
003 "clauses/lia/fpice/inductive3.smt2" 0.029619861 0
004 "clauses/lia/fpice/inductive4.smt2" 0.157340732 0
005 "clauses/lia/fpice/inductive5.smt2" 0.031179873 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.021965814 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.028130060 0
008 "clauses/lia/fpice/inductive6.smt2" 0.018867339 0
009 "clauses/lia/fpice/repeat.smt2" 0.086365324 0
010 "clauses/lia/mochi/a-copy-print.smt2" timeout 124
011 "clauses/lia/mochi/a-dotprod.smt2" 0.115053230 0
012 "clauses/lia/mochi/a-init.smt2" 1.907095475 0
013 "clauses/lia/mochi/a-max.smt2" 22.697484705 0
014 "clauses/lia/mochi/ack.smt2" 0.056256245 0
015 "clauses/lia/mochi/apply.smt2" 0.024926207 10
016 "clauses/lia/mochi/array_init.smt2" 2.367965515 0
017 "clauses/lia/mochi/bcopy.smt2" 0.078380958 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.105792109 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.080022351 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.186629711 0
021 "clauses/lia/mochi/bcopy5.smt2" timeout 124
022 "clauses/lia/mochi/bsearch.smt2" 0.214754367 0
023 "clauses/lia/mochi/copy_intro.smt2" 0.019081681 0
024 "clauses/lia/mochi/dotprod.smt2" 0.612663975 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.042128106 0
026 "clauses/lia/mochi/dotprod3.smt2" 0.080758341 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.128995904 0
028 "clauses/lia/mochi/dotprod5.smt2" timeout 124
029 "clauses/lia/mochi/dotprod_lin.smt2" 0.206249619 0
030 "clauses/lia/mochi/enc-rev_accum.smt2" timeout 124
031 "clauses/lia/mochi/enc-rev_append.smt2" 0.094048521 0
032 "clauses/lia/mochi/enc-zip.smt2" 0.030009210 0
033 "clauses/lia/mochi/enc-zip3.smt2" 0.045022177 0
034 "clauses/lia/mochi/enc-zip4.smt2" 0.043258689 0
035 "clauses/lia/mochi/enc-zip_map.smt2" 0.116778163 0
036 "clauses/lia/mochi/enc-zip_map2.smt2" 0.102160069 0
