FpIce Inactive Simple Red {
  short: fpice_inactive_sred
  graph: FpIce Inactive Simple Red
  cmd: "fpice infer --vc-reduction --reduce-only-simple-vc"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "--- Correct Type found" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
elif [ `cat $err | grep -e "Failure.*is not valid\!" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
elif [ `cat $err | grep -e "contradiction found:" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
001 "clauses/lia/fpice/inductive2.smt2" 0.032805505 0
003 "clauses/lia/fpice/inductive3.smt2" 0.035668581 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.047625104 0
005 "clauses/lia/fpice/inductive5.smt2" 0.036640541 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.024210703 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.027984214 0
008 "clauses/lia/fpice/inductive6.smt2" 0.020091927 0
000 "clauses/lia/fpice/inductive.smt2" 0.108186339 0
009 "clauses/lia/fpice/repeat.smt2" 0.094367074 0
004 "clauses/lia/fpice/inductive4.smt2" 0.308059225 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.135719586 0
014 "clauses/lia/mochi/ack.smt2" 0.088294083 0
015 "clauses/lia/mochi/apply.smt2" 0.027117265 10
012 "clauses/lia/mochi/a-init.smt2" 0.451170758 0
016 "clauses/lia/mochi/array_init.smt2" 0.572727869 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.126397978 0
017 "clauses/lia/mochi/bcopy.smt2" 0.135820843 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.142216879 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.083423114 0
022 "clauses/lia/mochi/bsearch.smt2" 0.192855221 0
023 "clauses/lia/mochi/copy_intro.smt2" 0.021929197 0
013 "clauses/lia/mochi/a-max.smt2" 0.928637933 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.050414081 0
026 "clauses/lia/mochi/dotprod3.smt2" 0.128793002 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.150720245 0
024 "clauses/lia/mochi/dotprod.smt2" 0.271936665 0
