FpHoice Both Red and EA {
  short: fphoice_both_red_ea
  graph: FpHoice Both Red and EA
  cmd: "fphoice"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^unsat$" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
elif [ `cat $out | grep -e "^sat$" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "caml/lia/fpice/inductive.ml" 0.071972556 0
001 "caml/lia/fpice/inductive2.ml" 0.038308273 0
002 "caml/lia/fpice/inductive3-2.ml" 0.043863777 0
003 "caml/lia/fpice/inductive3.ml" 0.036642386 0
004 "caml/lia/fpice/inductive4.ml" 0.154691177 0
005 "caml/lia/fpice/inductive5.ml" 0.037457466 0
006 "caml/lia/fpice/inductive6-2.ml" 0.018809777 0
007 "caml/lia/fpice/inductive6-3.ml" 0.019327611 0
008 "caml/lia/fpice/inductive6.ml" 0.018043605 0
009 "caml/lia/fpice/repeat.ml" 0.059611667 0
010 "caml/lia/mochi/a-copy-print.ml" 0.355734826 0
011 "caml/lia/mochi/a-dotprod.ml" 0.073246078 0
012 "caml/lia/mochi/a-init.ml" 0.097609820 0
013 "caml/lia/mochi/a-max.ml" 0.255159488 0
014 "caml/lia/mochi/ack.ml" 0.268645901 0
015 "caml/lia/mochi/apply.ml" 0.040586162 10
016 "caml/lia/mochi/array_init.ml" 0.758347995 0
017 "caml/lia/mochi/bcopy.ml" 0.110324368 0
018 "caml/lia/mochi/bcopy2.ml" 0.075607010 0
019 "caml/lia/mochi/bcopy3.ml" 0.069488435 0
020 "caml/lia/mochi/bcopy4.ml" 0.049585571 0
021 "caml/lia/mochi/bcopy5.ml" 0.101290738 0
022 "caml/lia/mochi/bsearch.ml" 0.276518734 0
023 "caml/lia/mochi/copy_intro.ml" 0.046600885 0
024 "caml/lia/mochi/dotprod.ml" 0.840581368 0
025 "caml/lia/mochi/dotprod2.ml" 0.046316474 0
026 "caml/lia/mochi/dotprod3.ml" 0.075951779 0
027 "caml/lia/mochi/dotprod4.ml" 0.074181361 0
028 "caml/lia/mochi/dotprod5.ml" 0.101533022 0
029 "caml/lia/mochi/dotprod_lin.ml" 0.078644527 0
