FpHoice EA {
  short: fphoice_effect_analysis
  graph: FpHoice EA
  cmd: "fphoice_no_red --no-vc-reduction"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^unsat$" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
elif [ `cat $out | grep -e "^sat$" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "caml/lia/fpice/inductive.ml" 0.075406413 0
001 "caml/lia/fpice/inductive2.ml" 0.037554068 0
002 "caml/lia/fpice/inductive3-2.ml" 0.043713735 0
003 "caml/lia/fpice/inductive3.ml" 0.036289384 0
004 "caml/lia/fpice/inductive4.ml" 0.216231994 0
005 "caml/lia/fpice/inductive5.ml" 0.038294147 0
006 "caml/lia/fpice/inductive6-2.ml" 0.100417226 0
007 "caml/lia/fpice/inductive6-3.ml" 0.103746695 0
008 "caml/lia/fpice/inductive6.ml" 0.105357884 0
009 "caml/lia/fpice/repeat.ml" 0.057310495 0
010 "caml/lia/mochi/a-copy-print.ml" 3.807931059 0
011 "caml/lia/mochi/a-dotprod.ml" 0.096315644 0
012 "caml/lia/mochi/a-init.ml" 0.463133268 0
013 "caml/lia/mochi/a-max.ml" 0.811826628 0
014 "caml/lia/mochi/ack.ml" 4.740321673 0
015 "caml/lia/mochi/apply.ml" 0.109895434 10
016 "caml/lia/mochi/array_init.ml" 1.108479254 0
017 "caml/lia/mochi/bcopy.ml" 0.256291059 0
018 "caml/lia/mochi/bcopy2.ml" 0.150801611 0
019 "caml/lia/mochi/bcopy3.ml" 0.089988608 0
020 "caml/lia/mochi/bcopy4.ml" 0.054590336 0
021 "caml/lia/mochi/bcopy5.ml" 1.939831286 0
022 "caml/lia/mochi/bsearch.ml" 0.284064212 0
023 "caml/lia/mochi/copy_intro.ml" 0.048256445 0
024 "caml/lia/mochi/dotprod.ml" 0.606388890 0
025 "caml/lia/mochi/dotprod2.ml" 0.045976827 0
026 "caml/lia/mochi/dotprod3.ml" 0.095082072 0
027 "caml/lia/mochi/dotprod4.ml" 0.096209371 0
028 "caml/lia/mochi/dotprod5.ml" 0.717895803 0
029 "caml/lia/mochi/dotprod_lin.ml" 0.105559428 0
