FpHoice FpRed and EA {
  short: fphoice_fp_red_ea
  graph: FpHoice FpRed and EA
  cmd: "fphoice_no_red"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^unsat$" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
elif [ `cat $out | grep -e "^sat$" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "caml/lia/fpice/inductive.ml" error 2
001 "caml/lia/fpice/inductive2.ml" error 2
002 "caml/lia/fpice/inductive3-2.ml" error 2
003 "caml/lia/fpice/inductive3.ml" error 2
004 "caml/lia/fpice/inductive4.ml" error 2
005 "caml/lia/fpice/inductive5.ml" error 2
006 "caml/lia/fpice/inductive6-2.ml" error 2
007 "caml/lia/fpice/inductive6-3.ml" error 2
008 "caml/lia/fpice/inductive6.ml" error 2
009 "caml/lia/fpice/repeat.ml" error 2
010 "caml/lia/mochi/a-copy-print.ml" error 2
011 "caml/lia/mochi/a-dotprod.ml" error 2
012 "caml/lia/mochi/a-init.ml" error 2
013 "caml/lia/mochi/a-max.ml" error 2
014 "caml/lia/mochi/ack.ml" error 2
015 "caml/lia/mochi/apply.ml" error 2
016 "caml/lia/mochi/array_init.ml" error 2
017 "caml/lia/mochi/bcopy.ml" error 2
018 "caml/lia/mochi/bcopy2.ml" error 2
019 "caml/lia/mochi/bcopy3.ml" error 2
020 "caml/lia/mochi/bcopy4.ml" error 2
021 "caml/lia/mochi/bcopy5.ml" error 2
022 "caml/lia/mochi/bsearch.ml" error 2
023 "caml/lia/mochi/copy_intro.ml" error 2
024 "caml/lia/mochi/dotprod.ml" error 2
025 "caml/lia/mochi/dotprod2.ml" error 2
026 "caml/lia/mochi/dotprod3.ml" error 2
027 "caml/lia/mochi/dotprod4.ml" error 2
028 "caml/lia/mochi/dotprod5.ml" error 2
029 "caml/lia/mochi/dotprod_lin.ml" error 2
030 "caml/lia/mochi/enc-rev_accum.ml" error 2
031 "caml/lia/mochi/enc-rev_append.ml" error 2
032 "caml/lia/mochi/enc-zip.ml" error 2
033 "caml/lia/mochi/enc-zip3.ml" error 2
034 "caml/lia/mochi/enc-zip4.ml" error 2
035 "caml/lia/mochi/enc-zip_map.ml" error 2
