FpHoice Inactive {
  short: fphoice_inactive
  graph: FpHoice Inactive
  cmd: "fphoice_no_red --no-vc-reduction --no-effect-analysis"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^unsat$" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
elif [ `cat $out | grep -e "^sat$" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "caml/lia/fpice/inductive.ml" 0.110298479 0
001 "caml/lia/fpice/inductive2.ml" 0.043602490 0
002 "caml/lia/fpice/inductive3-2.ml" 0.041573767 0
003 "caml/lia/fpice/inductive3.ml" 0.050148687 0
004 "caml/lia/fpice/inductive4.ml" 0.265307083 0
005 "caml/lia/fpice/inductive5.ml" 0.044477785 0
006 "caml/lia/fpice/inductive6-2.ml" 0.157499299 0
007 "caml/lia/fpice/inductive6-3.ml" 0.125505058 0
008 "caml/lia/fpice/inductive6.ml" 0.193516630 0
009 "caml/lia/fpice/repeat.ml" 0.139571527 0
010 "caml/lia/mochi/a-copy-print.ml" 2.856191093 0
011 "caml/lia/mochi/a-dotprod.ml" 0.136409818 0
012 "caml/lia/mochi/a-init.ml" 0.659623911 0
013 "caml/lia/mochi/a-max.ml" 0.478852639 0
014 "caml/lia/mochi/ack.ml" 0.478290805 0
015 "caml/lia/mochi/apply.ml" 0.116156614 10
016 "caml/lia/mochi/array_init.ml" 19.581761085 0
017 "caml/lia/mochi/bcopy.ml" 0.635554511 0
018 "caml/lia/mochi/bcopy2.ml" 0.202905149 0
019 "caml/lia/mochi/bcopy3.ml" 0.107314572 0
020 "caml/lia/mochi/bcopy4.ml" 0.060882290 0
021 "caml/lia/mochi/bcopy5.ml" 1.193608859 0
022 "caml/lia/mochi/bsearch.ml" 0.342244956 0
023 "caml/lia/mochi/copy_intro.ml" 0.063844226 0
024 "caml/lia/mochi/dotprod.ml" timeout 124
025 "caml/lia/mochi/dotprod2.ml" 0.061789904 0
026 "caml/lia/mochi/dotprod3.ml" 0.138782116 0
027 "caml/lia/mochi/dotprod4.ml" 0.137626698 0
028 "caml/lia/mochi/dotprod5.ml" 1.513602290 0
029 "caml/lia/mochi/dotprod_lin.ml" 0.143566124 0
