FpHoice Red and EA {
  short: fphoice_red_ea
  graph: FpHoice Red and EA
  cmd: "fphoice --no-vc-reduction"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^unsat$" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
elif [ `cat $out | grep -e "^sat$" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "caml/lia/fpice/inductive.ml" 0.082224877 0
001 "caml/lia/fpice/inductive2.ml" 0.037734146 0
002 "caml/lia/fpice/inductive3-2.ml" 0.044526925 0
003 "caml/lia/fpice/inductive3.ml" 0.036499786 0
004 "caml/lia/fpice/inductive4.ml" 0.120995872 0
005 "caml/lia/fpice/inductive5.ml" 0.039036881 0
006 "caml/lia/fpice/inductive6-2.ml" 0.023129319 0
007 "caml/lia/fpice/inductive6-3.ml" 0.041854772 0
008 "caml/lia/fpice/inductive6.ml" 0.022909073 0
009 "caml/lia/fpice/repeat.ml" 0.061711104 0
010 "caml/lia/mochi/a-copy-print.ml" 0.401233482 0
011 "caml/lia/mochi/a-dotprod.ml" 0.097627440 0
012 "caml/lia/mochi/a-init.ml" 0.202476890 10
013 "caml/lia/mochi/a-max.ml" 1.634847626 0
014 "caml/lia/mochi/ack.ml" 3.772170616 0
015 "caml/lia/mochi/apply.ml" 0.042440376 10
016 "caml/lia/mochi/array_init.ml" 0.646777204 0
017 "caml/lia/mochi/bcopy.ml" 0.135893813 0
018 "caml/lia/mochi/bcopy2.ml" 0.120969362 0
019 "caml/lia/mochi/bcopy3.ml" 0.092958010 0
020 "caml/lia/mochi/bcopy4.ml" 0.051697898 0
021 "caml/lia/mochi/bcopy5.ml" 0.150872126 0
022 "caml/lia/mochi/bsearch.ml" 0.338422319 0
023 "caml/lia/mochi/copy_intro.ml" 0.048194114 0
024 "caml/lia/mochi/dotprod.ml" 0.544132235 0
025 "caml/lia/mochi/dotprod2.ml" 0.047876456 0
026 "caml/lia/mochi/dotprod3.ml" 0.096314029 0
027 "caml/lia/mochi/dotprod4.ml" 0.098995577 0
028 "caml/lia/mochi/dotprod5.ml" 0.145647772 0
029 "caml/lia/mochi/dotprod_lin.ml" 0.109001674 0
