FpHoice Red {
  short: fphoice_red_only
  graph: FpHoice Red
  cmd: "fphoice --no-vc-reduction --no-effect-analysis"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^unsat$" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
elif [ `cat $out | grep -e "^sat$" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "caml/lia/fpice/inductive.ml" 0.109401583 0
001 "caml/lia/fpice/inductive2.ml" 0.044001750 0
002 "caml/lia/fpice/inductive3-2.ml" 0.042017917 0
003 "caml/lia/fpice/inductive3.ml" 0.050647374 0
004 "caml/lia/fpice/inductive4.ml" 0.199457454 0
005 "caml/lia/fpice/inductive5.ml" 0.045144195 0
006 "caml/lia/fpice/inductive6-2.ml" 0.022570779 0
007 "caml/lia/fpice/inductive6-3.ml" 0.039872968 0
008 "caml/lia/fpice/inductive6.ml" 0.020736714 0
009 "caml/lia/fpice/repeat.ml" 0.094298699 0
010 "caml/lia/mochi/a-copy-print.ml" 0.445132246 0
011 "caml/lia/mochi/a-dotprod.ml" 0.127057203 0
012 "caml/lia/mochi/a-init.ml" 0.306344263 10
013 "caml/lia/mochi/a-max.ml" 0.578150930 0
014 "caml/lia/mochi/ack.ml" 0.484776723 0
015 "caml/lia/mochi/apply.ml" 0.039030408 10
016 "caml/lia/mochi/array_init.ml" 0.403768177 0
017 "caml/lia/mochi/bcopy.ml" 0.642372373 0
018 "caml/lia/mochi/bcopy2.ml" 0.140059803 0
019 "caml/lia/mochi/bcopy3.ml" 0.113241444 0
020 "caml/lia/mochi/bcopy4.ml" 0.086956497 0
021 "caml/lia/mochi/bcopy5.ml" 0.180991908 0
022 "caml/lia/mochi/bsearch.ml" 0.436489220 0
023 "caml/lia/mochi/copy_intro.ml" 0.062072001 0
024 "caml/lia/mochi/dotprod.ml" 0.522169625 0
025 "caml/lia/mochi/dotprod2.ml" 0.065139729 0
026 "caml/lia/mochi/dotprod3.ml" 0.120831150 0
027 "caml/lia/mochi/dotprod4.ml" 0.127819767 0
028 "caml/lia/mochi/dotprod5.ml" 0.187442476 0
029 "caml/lia/mochi/dotprod_lin.ml" 0.134198302 0
