MoCHi {
  short: mochi
  graph: MoCHi
  cmd: "mochi -horsat2 -only-result"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "Safe\!" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $safe
elif [ `cat $out | grep -e "Unsafe" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "caml/lia/fpice/inductive.ml" 2.488601447 0
001 "caml/lia/fpice/inductive2.ml" 0.939052424 0
002 "caml/lia/fpice/inductive3-2.ml" 1.553833138 0
003 "caml/lia/fpice/inductive3.ml" 0.538616978 0
004 "caml/lia/fpice/inductive4.ml" 6.684070389 0
005 "caml/lia/fpice/inductive5.ml" 0.983957186 0
006 "caml/lia/fpice/inductive6-2.ml" 0.114273183 0
007 "caml/lia/fpice/inductive6-3.ml" 0.132124677 0
008 "caml/lia/fpice/inductive6.ml" 0.083541733 0
009 "caml/lia/fpice/repeat.ml" timeout 124
010 "caml/lia/mochi/a-copy-print.ml" timeout 124
011 "caml/lia/mochi/a-dotprod.ml" 1.450998498 0
012 "caml/lia/mochi/a-init.ml" timeout 124
013 "caml/lia/mochi/a-max.ml" 3.663446962 0
014 "caml/lia/mochi/ack.ml" 0.573263891 0
015 "caml/lia/mochi/apply.ml" 0.089011258 0
016 "caml/lia/mochi/array_init.ml" timeout 124
017 "caml/lia/mochi/bcopy.ml" 1.910005695 0
018 "caml/lia/mochi/bcopy2.ml" 1.515976457 0
019 "caml/lia/mochi/bcopy3.ml" 0.766184596 0
020 "caml/lia/mochi/bcopy4.ml" 0.485585870 0
021 "caml/lia/mochi/bcopy5.ml" 1.719920745 0
022 "caml/lia/mochi/bsearch.ml" 2.245277850 0
023 "caml/lia/mochi/copy_intro.ml" timeout 124
024 "caml/lia/mochi/dotprod.ml" 1.673073763 0
025 "caml/lia/mochi/dotprod2.ml" 0.456582076 0
026 "caml/lia/mochi/dotprod3.ml" 1.323313011 0
027 "caml/lia/mochi/dotprod4.ml" 1.454311346 0
028 "caml/lia/mochi/dotprod5.ml" 1.713930341 0
029 "caml/lia/mochi/dotprod_lin.ml" 2.004823380 0
030 "caml/lia/mochi/enc-rev_accum.ml" timeout 124
