eldarica EA {
  short: eld_ea
  graph: eldarica EA
  cmd: "eldarica -ssol"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check_eld on --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 0, safe, Safe
  success: 10, unsafe, Unsafe
}
timeout: 100.000000000
#
000 "clauses/lia/fpice/inductive.smt2" 1.332505079 0
001 "clauses/lia/fpice/inductive2.smt2" 1.061498313 0
002 "clauses/lia/fpice/inductive3-2.smt2" 1.069746406 0
003 "clauses/lia/fpice/inductive3.smt2" 1.098060245 0
004 "clauses/lia/fpice/inductive4.smt2" 1.316970472 0
005 "clauses/lia/fpice/inductive5.smt2" 1.086891898 0
006 "clauses/lia/fpice/inductive6-2.smt2" 1.024451362 0
007 "clauses/lia/fpice/inductive6-3.smt2" 1.113893555 0
008 "clauses/lia/fpice/inductive6.smt2" 1.000811289 0
009 "clauses/lia/fpice/repeat.smt2" 1.124785065 0
010 "clauses/lia/mochi/a-copy-print.smt2" 3.263388031 0
011 "clauses/lia/mochi/a-dotprod.smt2" timeout 124
012 "clauses/lia/mochi/a-init.smt2" 4.649945885 0
013 "clauses/lia/mochi/a-max.smt2" 1.279142784 0
014 "clauses/lia/mochi/ack.smt2" 1.069017492 0
015 "clauses/lia/mochi/apply.smt2" 1.209317221 10
016 "clauses/lia/mochi/array_init.smt2" timeout 124
017 "clauses/lia/mochi/bcopy.smt2" 1.353900003 0
018 "clauses/lia/mochi/bcopy2.smt2" 1.727435085 0
019 "clauses/lia/mochi/bcopy3.smt2" 1.283649642 0
020 "clauses/lia/mochi/bcopy4.smt2" 1.088392715 0
021 "clauses/lia/mochi/bcopy5.smt2" 2.146263031 0
022 "clauses/lia/mochi/bsearch.smt2" 1.438486353 0
023 "clauses/lia/mochi/copy_intro.smt2" 1.188753860 0
024 "clauses/lia/mochi/dotprod.smt2" 56.007972432 0
025 "clauses/lia/mochi/dotprod2.smt2" 52.465006096 0
026 "clauses/lia/mochi/dotprod3.smt2" timeout 124
027 "clauses/lia/mochi/dotprod4.smt2" timeout 124
028 "clauses/lia/mochi/dotprod5.smt2" 2.129461784 0
029 "clauses/lia/mochi/dotprod_lin.smt2" 2.266369343 0
030 "clauses/lia/mochi/enc-rev_accum.smt2" 1.030396989 0
031 "clauses/lia/mochi/enc-rev_append.smt2" 1.213235978 0
032 "clauses/lia/mochi/enc-zip.smt2" 1.142121239 0
033 "clauses/lia/mochi/enc-zip3.smt2" 1.060619980 0
034 "clauses/lia/mochi/enc-zip4.smt2" 1.165373243 0
035 "clauses/lia/mochi/enc-zip_map.smt2" 1.265248348 0
036 "clauses/lia/mochi/enc-zip_map2.smt2" 1.230392074 0
037 "clauses/lia/mochi/enc-zip_unzip.smt2" 1.412232714 0
038 "clauses/lia/mochi/enc-zipmap.smt2" 1.250784100 0
039 "clauses/lia/mochi/exc-fact.smt2" timeout 124
040 "clauses/lia/mochi/exc-simple.smt2" 0.879014328 0
041 "clauses/lia/mochi/exception.smt2" 0.884184632 0
042 "clauses/lia/mochi/fact_exn.smt2" timeout 124
043 "clauses/lia/mochi/fib.smt2" 1.070482497 0
044 "clauses/lia/mochi/file.smt2" 2.335149309 0
045 "clauses/lia/mochi/flow.smt2" 0.786123024 0
046 "clauses/lia/mochi/fxx.smt2" 0.810920213 0
047 "clauses/lia/mochi/gib.smt2" timeout 124
048 "clauses/lia/mochi/gib2.smt2" timeout 124
049 "clauses/lia/mochi/hors.smt2" 1.070938226 0
050 "clauses/lia/mochi/hrec.smt2" 1.123969272 0
051 "clauses/lia/mochi/inc.smt2" 1.180974799 0
052 "clauses/lia/mochi/inc3.smt2" 1.508451963 0
053 "clauses/lia/mochi/inc4.smt2" 1.638746198 0
054 "clauses/lia/mochi/intro1.smt2" 0.942529127 0
055 "clauses/lia/mochi/intro2.smt2" 0.910967985 0
056 "clauses/lia/mochi/intro3.smt2" 0.917868827 0
057 "clauses/lia/mochi/kmp.smt2" timeout 124
058 "clauses/lia/mochi/lock.smt2" 1.160021370 0
059 "clauses/lia/mochi/map.smt2" 1.003132979 0
060 "clauses/lia/mochi/map_map.smt2" 1.187956967 0
061 "clauses/lia/mochi/max.smt2" 1.117363791 0
062 "clauses/lia/mochi/mc91.smt2" 1.021593062 0
063 "clauses/lia/mochi/mc91_95.smt2" 1.127964719 0
064 "clauses/lia/mochi/mc91_98.smt2" 1.101082492 0
065 "clauses/lia/mochi/mc91_99.smt2" 1.096720365 0
066 "clauses/lia/mochi/mc91_cps.smt2" 1.366829083 0
067 "clauses/lia/mochi/mult.smt2" 1.095229866 0
068 "clauses/lia/mochi/neg1.smt2" 0.978250496 10
069 "clauses/lia/mochi/neg2.smt2" 0.961729167 0
070 "clauses/lia/mochi/queen.smt2" 2.184416905 0
071 "clauses/lia/mochi/recursive.smt2" 1.116821125 0
072 "clauses/lia/mochi/repeat.smt2" 1.119149538 0
073 "clauses/lia/mochi/repeat4.smt2" 1.058288707 0
074 "clauses/lia/mochi/sigma_sum.smt2" 1.148785280 0
075 "clauses/lia/mochi/sum.smt2" 1.016849023 0
076 "clauses/lia/mochi/sum2.smt2" 1.029008186 0
077 "clauses/lia/mochi/sum3.smt2" 1.120826986 0
078 "clauses/lia/mochi/sum4.smt2" 1.272177206 0
079 "clauses/lia/mochi/sum_cps.smt2" 1.136124344 0
080 "clauses/lia/mochi/sum_intro.smt2" 1.054097109 0
081 "clauses/lia/mochi/twice.smt2" 0.928682542 0
082 "clauses/lia/termination/Ackermann00.smt2" 1.278140499 0
083 "clauses/lia/termination/Ackermann01.smt2" 1.304037660 0
084 "clauses/lia/termination/Ackermann02.smt2" 1.555327893 0
085 "clauses/lia/termination/Ackermann03.smt2" 1.294417731 0
086 "clauses/lia/termination/Ackermann04.smt2" error 2
087 "clauses/lia/termination/Ackermann05.smt2" 2.330788083 0
088 "clauses/lia/termination/Ackermann06.smt2" 1.723491539 0
089 "clauses/lia/termination/alias_partial00.smt2" 1.048120957 0
090 "clauses/lia/termination/alias_partial01.smt2" 0.963673605 0
091 "clauses/lia/termination/alias_partial02.smt2" 1.001775710 0
092 "clauses/lia/termination/alias_partial03.smt2" 1.278372472 0
093 "clauses/lia/termination/append00.smt2" 0.988083310 0
094 "clauses/lia/termination/append01.smt2" 1.321183234 0
095 "clauses/lia/termination/append02.smt2" 1.277996460 0
096 "clauses/lia/termination/binomial00.smt2" 1.280239871 0
097 "clauses/lia/termination/binomial01.smt2" 1.339949964 0
098 "clauses/lia/termination/binomial02.smt2" 2.129905399 0
099 "clauses/lia/termination/binomial03.smt2" 1.321731533 0
100 "clauses/lia/termination/binomial04.smt2" 1.304795946 0
101 "clauses/lia/termination/binomial05.smt2" 1.642448367 0
102 "clauses/lia/termination/CE-0CFA00.smt2" 1.403499123 0
103 "clauses/lia/termination/CE-0CFA01.smt2" 1.276692146 0
104 "clauses/lia/termination/CE-0CFA02.smt2" 1.305974188 0
105 "clauses/lia/termination/CE-0CFA03.smt2" 1.321296529 10
106 "clauses/lia/termination/CE-0CFA04.smt2" 1.184774695 0
107 "clauses/lia/termination/CE-0CFA05.smt2" 1.311708182 0
108 "clauses/lia/termination/CE-1CFA00.smt2" 1.461634674 0
109 "clauses/lia/termination/CE-1CFA01.smt2" 1.551053663 0
110 "clauses/lia/termination/CE-1CFA02.smt2" 1.486665655 0
111 "clauses/lia/termination/CE-1CFA03.smt2" 1.346322337 10
112 "clauses/lia/termination/CE-1CFA04.smt2" 2.090430467 10
113 "clauses/lia/termination/CE-1CFA05.smt2" 1.531857312 0
114 "clauses/lia/termination/CE-1CFA06.smt2" 1.313339628 0
115 "clauses/lia/termination/CE-1CFA07.smt2" 1.874554940 10
