z3 spacer EA {
  short: z3_spacer_ea
  graph: z3 spacer EA
  cmd: "z3 fixedpoint.engine=spacer"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 0, safe, Safe
  success: 10, unsafe, Unsafe
}
timeout: 100.000000000
#
000 "clauses/lia/fpice/inductive.smt2" 0.029007617 0
001 "clauses/lia/fpice/inductive2.smt2" 0.011566748 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.011919788 0
003 "clauses/lia/fpice/inductive3.smt2" 0.010543821 0
004 "clauses/lia/fpice/inductive4.smt2" 0.017884443 0
005 "clauses/lia/fpice/inductive5.smt2" 0.011252983 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.008678680 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.010389824 0
008 "clauses/lia/fpice/inductive6.smt2" 0.083238986 0
009 "clauses/lia/fpice/repeat.smt2" 0.012361236 0
010 "clauses/lia/mochi/a-copy-print.smt2" 0.215083931 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.114282907 0
012 "clauses/lia/mochi/a-init.smt2" 0.072327254 0
013 "clauses/lia/mochi/a-max.smt2" 0.039571022 0
014 "clauses/lia/mochi/ack.smt2" 0.012830320 0
015 "clauses/lia/mochi/apply.smt2" 0.012404999 10
016 "clauses/lia/mochi/array_init.smt2" 0.138609780 0
017 "clauses/lia/mochi/bcopy.smt2" 0.026775138 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.085093066 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.015633995 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.010817547 0
021 "clauses/lia/mochi/bcopy5.smt2" 0.194629180 0
022 "clauses/lia/mochi/bsearch.smt2" 0.086632264 0
024 "clauses/lia/mochi/dotprod.smt2" 0.038922843 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.012683931 0
026 "clauses/lia/mochi/dotprod3.smt2" 0.062621339 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.114464546 0
028 "clauses/lia/mochi/dotprod5.smt2" 0.197969912 0
023 "clauses/lia/mochi/copy_intro.smt2" timeout 124
030 "clauses/lia/mochi/enc-rev_accum.smt2" 0.010255770 0
029 "clauses/lia/mochi/dotprod_lin.smt2" 6.967389991 0
032 "clauses/lia/mochi/enc-zip.smt2" 0.020733214 0
031 "clauses/lia/mochi/enc-rev_append.smt2" timeout 124
033 "clauses/lia/mochi/enc-zip3.smt2" 0.011664856 0
034 "clauses/lia/mochi/enc-zip4.smt2" 0.027424860 0
035 "clauses/lia/mochi/enc-zip_map.smt2" timeout 124
036 "clauses/lia/mochi/enc-zip_map2.smt2" timeout 124
039 "clauses/lia/mochi/exc-fact.smt2" 0.012212997 0
040 "clauses/lia/mochi/exc-simple.smt2" 0.004755570 0
041 "clauses/lia/mochi/exception.smt2" 0.004917653 0
042 "clauses/lia/mochi/fact_exn.smt2" 0.012415723 0
