hoice {
  short: hoice
  graph: hoice
  cmd: "hoice -c off"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^unknown" | wc -l | tr -d ' '` -ne 0 ] \
|| [ `cat $out | grep -e "^(error" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit 2
elif [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "clauses/lia/fpice/inductive.smt2" 0.058701526 0
001 "clauses/lia/fpice/inductive2.smt2" 0.024036525 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.054465680 0
003 "clauses/lia/fpice/inductive3.smt2" 0.026770385 0
005 "clauses/lia/fpice/inductive5.smt2" 0.031791591 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.010431166 0
004 "clauses/lia/fpice/inductive4.smt2" 0.177565786 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.030368908 0
008 "clauses/lia/fpice/inductive6.smt2" 0.010033056 0
009 "clauses/lia/fpice/repeat.smt2" 0.074264255 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.127032887 0
012 "clauses/lia/mochi/a-init.smt2" 0.144005864 0
013 "clauses/lia/mochi/a-max.smt2" 0.139035261 0
015 "clauses/lia/mochi/apply.smt2" 0.028324239 10
014 "clauses/lia/mochi/ack.smt2" 0.292140306 0
010 "clauses/lia/mochi/a-copy-print.smt2" 1.091899233 0
017 "clauses/lia/mochi/bcopy.smt2" 0.087987948 0
016 "clauses/lia/mochi/array_init.smt2" 0.487964210 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.157924966 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.084860940 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.045796153 0
021 "clauses/lia/mochi/bcopy5.smt2" 0.191265565 0
022 "clauses/lia/mochi/bsearch.smt2" 0.842420289 0
023 "clauses/lia/mochi/copy_intro.smt2" 0.051873082 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.036641864 0
024 "clauses/lia/mochi/dotprod.smt2" 0.228347023 0
026 "clauses/lia/mochi/dotprod3.smt2" 0.083741496 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.121912347 0
028 "clauses/lia/mochi/dotprod5.smt2" 0.165812484 0
029 "clauses/lia/mochi/dotprod_lin.smt2" 0.127940628 0
031 "clauses/lia/mochi/enc-rev_append.smt2" 0.044439982 0
030 "clauses/lia/mochi/enc-rev_accum.smt2" timeout 124
032 "clauses/lia/mochi/enc-zip.smt2" 0.027830190 0
033 "clauses/lia/mochi/enc-zip3.smt2" 0.024096289 0
034 "clauses/lia/mochi/enc-zip4.smt2" 0.028797925 0
035 "clauses/lia/mochi/enc-zip_map.smt2" 0.084444933 0
036 "clauses/lia/mochi/enc-zip_map2.smt2" 0.064424874 0
037 "clauses/lia/mochi/enc-zip_unzip.smt2" 0.185835871 0
038 "clauses/lia/mochi/enc-zipmap.smt2" 0.063302390 0
039 "clauses/lia/mochi/exc-fact.smt2" 0.012499242 0
040 "clauses/lia/mochi/exc-simple.smt2" 0.009973788 0
041 "clauses/lia/mochi/exception.smt2" 0.009736764 0
042 "clauses/lia/mochi/fact_exn.smt2" 0.012762004 0
