eldarica {
  short: eld
  graph: eldarica
  cmd: "eldarica -ssol"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check_eld on --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "clauses/lia/fpice/inductive.smt2" 1.448699977 0
001 "clauses/lia/fpice/inductive2.smt2" 0.971149577 0
002 "clauses/lia/fpice/inductive3-2.smt2" 1.156841419 0
003 "clauses/lia/fpice/inductive3.smt2" 0.971112445 0
004 "clauses/lia/fpice/inductive4.smt2" 1.187824399 0
005 "clauses/lia/fpice/inductive5.smt2" 1.034162712 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.977779806 0
007 "clauses/lia/fpice/inductive6-3.smt2" 1.065369316 0
008 "clauses/lia/fpice/inductive6.smt2" 0.909283719 0
009 "clauses/lia/fpice/repeat.smt2" 1.278837626 0
010 "clauses/lia/mochi/a-copy-print.smt2" 3.247552958 0
011 "clauses/lia/mochi/a-dotprod.smt2" timeout 124
012 "clauses/lia/mochi/a-init.smt2" 2.865826721 0
013 "clauses/lia/mochi/a-max.smt2" 2.126759775 0
014 "clauses/lia/mochi/ack.smt2" 1.798527005 0
015 "clauses/lia/mochi/apply.smt2" 1.318978529 10
016 "clauses/lia/mochi/array_init.smt2" timeout 124
017 "clauses/lia/mochi/bcopy.smt2" 3.211711997 0
018 "clauses/lia/mochi/bcopy2.smt2" 2.173596444 0
019 "clauses/lia/mochi/bcopy3.smt2" 1.419510108 0
020 "clauses/lia/mochi/bcopy4.smt2" 1.248030179 0
021 "clauses/lia/mochi/bcopy5.smt2" 3.991355738 0
022 "clauses/lia/mochi/bsearch.smt2" 1.689829175 0
023 "clauses/lia/mochi/copy_intro.smt2" 1.293963093 0
024 "clauses/lia/mochi/dotprod.smt2" timeout 124
025 "clauses/lia/mochi/dotprod2.smt2" timeout 124
026 "clauses/lia/mochi/dotprod3.smt2" timeout 124
027 "clauses/lia/mochi/dotprod4.smt2" timeout 124
