hoice {
  short: hoice
  graph: hoice
  cmd: "hoice"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "clauses/lia/fpice/inductive.smt2" 0.099037790 0
001 "clauses/lia/fpice/inductive2.smt2" 0.030777009 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.043400592 0
003 "clauses/lia/fpice/inductive3.smt2" 0.036293597 0
005 "clauses/lia/fpice/inductive5.smt2" 0.029999040 0
004 "clauses/lia/fpice/inductive4.smt2" 0.232814834 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.065253236 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.061063196 0
008 "clauses/lia/fpice/inductive6.smt2" 0.009301678 0
009 "clauses/lia/fpice/repeat.smt2" 0.081220500 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.173228219 0
012 "clauses/lia/mochi/a-init.smt2" 0.463445021 0
013 "clauses/lia/mochi/a-max.smt2" 0.567114870 0
014 "clauses/lia/mochi/ack.smt2" 0.089873104 0
015 "clauses/lia/mochi/apply.smt2" 0.049975869 10
016 "clauses/lia/mochi/array_init.smt2" 0.907479536 0
017 "clauses/lia/mochi/bcopy.smt2" 0.374235409 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.169183896 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.097367163 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.096165185 0
010 "clauses/lia/mochi/a-copy-print.smt2" 8.840889673 0
021 "clauses/lia/mochi/bcopy5.smt2" 0.347249136 0
022 "clauses/lia/mochi/bsearch.smt2" 0.252857337 0
023 "clauses/lia/mochi/copy_intro.smt2" 0.057739050 0
024 "clauses/lia/mochi/dotprod.smt2" 0.919440080 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.065917818 0
026 "clauses/lia/mochi/dotprod3.smt2" 0.114901864 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.117500683 0
