z3 auto {
  short: z3_auto
  graph: z3 auto
  cmd: "z3"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "clauses/lia/fpice/inductive.smt2" 0.027117442 0
001 "clauses/lia/fpice/inductive2.smt2" 0.013871062 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.012954330 0
003 "clauses/lia/fpice/inductive3.smt2" 0.012521538 0
004 "clauses/lia/fpice/inductive4.smt2" 0.020945383 0
005 "clauses/lia/fpice/inductive5.smt2" 0.013525722 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.020080923 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.033957500 0
008 "clauses/lia/fpice/inductive6.smt2" 0.005686856 0
010 "clauses/lia/mochi/a-copy-print.smt2" 0.427995252 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.125294946 0
012 "clauses/lia/mochi/a-init.smt2" 0.121777731 0
013 "clauses/lia/mochi/a-max.smt2" 0.494935166 0
014 "clauses/lia/mochi/ack.smt2" 0.015400868 0
015 "clauses/lia/mochi/apply.smt2" 0.010473577 10
016 "clauses/lia/mochi/array_init.smt2" 0.266523063 0
017 "clauses/lia/mochi/bcopy.smt2" 0.151715592 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.269537601 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.030030521 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.024800044 0
022 "clauses/lia/mochi/bsearch.smt2" 0.094792943 0
021 "clauses/lia/mochi/bcopy5.smt2" 1.889393356 0
009 "clauses/lia/fpice/repeat.smt2" timeout 124
024 "clauses/lia/mochi/dotprod.smt2" 0.081985068 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.040367217 0
026 "clauses/lia/mochi/dotprod3.smt2" 0.069838157 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.121840752 0
028 "clauses/lia/mochi/dotprod5.smt2" 1.966859436 0
