z3 pdr {
  short: z3_pdr
  graph: z3 pdr
  cmd: "z3 fixedpoint.engine=pdr"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "clauses/lia/fpice/inductive.smt2" 0.028012121 0
001 "clauses/lia/fpice/inductive2.smt2" 0.013795029 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.012987770 0
003 "clauses/lia/fpice/inductive3.smt2" 0.012582133 0
004 "clauses/lia/fpice/inductive4.smt2" 0.021150779 0
005 "clauses/lia/fpice/inductive5.smt2" 0.014148966 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.020023053 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.033664628 0
008 "clauses/lia/fpice/inductive6.smt2" 0.005926590 0
010 "clauses/lia/mochi/a-copy-print.smt2" 0.430936250 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.121876088 0
012 "clauses/lia/mochi/a-init.smt2" 0.118496087 0
013 "clauses/lia/mochi/a-max.smt2" 0.476262789 0
014 "clauses/lia/mochi/ack.smt2" 0.015708316 0
015 "clauses/lia/mochi/apply.smt2" 0.011530784 10
016 "clauses/lia/mochi/array_init.smt2" 0.258433378 0
017 "clauses/lia/mochi/bcopy.smt2" 0.162444206 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.272529546 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.029232325 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.024348458 0
021 "clauses/lia/mochi/bcopy5.smt2" 1.941554764 0
022 "clauses/lia/mochi/bsearch.smt2" 0.094091619 0
009 "clauses/lia/fpice/repeat.smt2" timeout 124
024 "clauses/lia/mochi/dotprod.smt2" 0.080230439 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.041335070 0
026 "clauses/lia/mochi/dotprod3.smt2" 0.069498822 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.122551449 0
