z3 spacer {
  short: z3_spacer
  graph: z3 spacer
  cmd: "z3 fixedpoint.engine=spacer"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "clauses/lia/fpice/inductive.smt2" 0.038142911 0
001 "clauses/lia/fpice/inductive2.smt2" 0.013075802 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.012850937 0
003 "clauses/lia/fpice/inductive3.smt2" 0.011935448 0
004 "clauses/lia/fpice/inductive4.smt2" 0.020092916 0
005 "clauses/lia/fpice/inductive5.smt2" 0.012734606 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.019194321 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.032952528 0
008 "clauses/lia/fpice/inductive6.smt2" 0.005840732 0
009 "clauses/lia/fpice/repeat.smt2" 0.018871011 0
010 "clauses/lia/mochi/a-copy-print.smt2" 0.349299981 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.120449098 0
012 "clauses/lia/mochi/a-init.smt2" 0.105080923 0
013 "clauses/lia/mochi/a-max.smt2" 0.222682538 0
014 "clauses/lia/mochi/ack.smt2" 0.017964220 0
015 "clauses/lia/mochi/apply.smt2" 0.012718280 10
017 "clauses/lia/mochi/bcopy.smt2" 0.185403970 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.262892057 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.028384646 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.028204262 0
021 "clauses/lia/mochi/bcopy5.smt2" 1.892613794 0
022 "clauses/lia/mochi/bsearch.smt2" 0.225826931 0
024 "clauses/lia/mochi/dotprod.smt2" 0.081917764 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.040077148 0
026 "clauses/lia/mochi/dotprod3.smt2" 0.068723161 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.122229335 0
016 "clauses/lia/mochi/array_init.smt2" timeout 124
