eldarica EA Red {
  short: eld_ea_red
  graph: eldarica EA Red
  cmd: "eldarica -ssol"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check_eld on --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 0, safe, Safe
  success: 10, unsafe, Unsafe
}
timeout: 100.000000000
#
000 "clauses/lia_ea_red/fpice/inductive.smt2" 1.196514444 0
001 "clauses/lia_ea_red/fpice/inductive2.smt2" 1.009500943 0
002 "clauses/lia_ea_red/fpice/inductive3-2.smt2" 1.017141008 0
003 "clauses/lia_ea_red/fpice/inductive3.smt2" 1.029293966 0
004 "clauses/lia_ea_red/fpice/inductive4.smt2" 1.403704147 0
005 "clauses/lia_ea_red/fpice/inductive5.smt2" 1.034399893 0
006 "clauses/lia_ea_red/fpice/inductive6-2.smt2" 0.760096703 0
007 "clauses/lia_ea_red/fpice/inductive6-3.smt2" 0.790973303 0
008 "clauses/lia_ea_red/fpice/inductive6.smt2" 0.754734008 0
009 "clauses/lia_ea_red/fpice/repeat.smt2" 1.032292991 0
010 "clauses/lia_ea_red/mochi/a-copy-print.smt2" 16.692706028 0
011 "clauses/lia_ea_red/mochi/a-dotprod.smt2" timeout 124
012 "clauses/lia_ea_red/mochi/a-init.smt2" 3.075045746 0
013 "clauses/lia_ea_red/mochi/a-max.smt2" 1.195484525 0
014 "clauses/lia_ea_red/mochi/ack.smt2" 1.023390926 0
015 "clauses/lia_ea_red/mochi/apply.smt2" 1.005509322 10
016 "clauses/lia_ea_red/mochi/array_init.smt2" timeout 124
017 "clauses/lia_ea_red/mochi/bcopy.smt2" 1.110807142 0
018 "clauses/lia_ea_red/mochi/bcopy2.smt2" 1.494733122 0
019 "clauses/lia_ea_red/mochi/bcopy3.smt2" 1.333798401 0
020 "clauses/lia_ea_red/mochi/bcopy4.smt2" 1.022525880 0
021 "clauses/lia_ea_red/mochi/bcopy5.smt2" 1.910754621 0
022 "clauses/lia_ea_red/mochi/bsearch.smt2" 1.309510765 0
023 "clauses/lia_ea_red/mochi/copy_intro.smt2" 1.124057121 0
024 "clauses/lia_ea_red/mochi/dotprod.smt2" 1.269233427 0
025 "clauses/lia_ea_red/mochi/dotprod2.smt2" 31.956539151 0
026 "clauses/lia_ea_red/mochi/dotprod3.smt2" 50.220261668 0
027 "clauses/lia_ea_red/mochi/dotprod4.smt2" timeout 124
028 "clauses/lia_ea_red/mochi/dotprod5.smt2" 1.967662932 0
029 "clauses/lia_ea_red/mochi/dotprod_lin.smt2" 2.122382120 0
030 "clauses/lia_ea_red/mochi/enc-rev_accum.smt2" 1.044021396 0
031 "clauses/lia_ea_red/mochi/enc-rev_append.smt2" 1.081952564 0
032 "clauses/lia_ea_red/mochi/enc-zip.smt2" 1.047917057 0
033 "clauses/lia_ea_red/mochi/enc-zip3.smt2" 1.009625326 0
034 "clauses/lia_ea_red/mochi/enc-zip4.smt2" 1.067685279 0
035 "clauses/lia_ea_red/mochi/enc-zip_map.smt2" 1.172070422 0
036 "clauses/lia_ea_red/mochi/enc-zip_map2.smt2" 1.249103433 0
037 "clauses/lia_ea_red/mochi/enc-zip_unzip.smt2" 1.297995061 0
038 "clauses/lia_ea_red/mochi/enc-zipmap.smt2" 1.324774826 0
039 "clauses/lia_ea_red/mochi/exc-fact.smt2" timeout 124
040 "clauses/lia_ea_red/mochi/exc-simple.smt2" 0.789989116 0
041 "clauses/lia_ea_red/mochi/exception.smt2" 0.754031629 0
042 "clauses/lia_ea_red/mochi/fact_exn.smt2" timeout 124
043 "clauses/lia_ea_red/mochi/fib.smt2" 1.024135524 0
044 "clauses/lia_ea_red/mochi/file.smt2" 2.434142584 0
045 "clauses/lia_ea_red/mochi/flow.smt2" 0.847222235 0
046 "clauses/lia_ea_red/mochi/fxx.smt2" 0.778257192 0
047 "clauses/lia_ea_red/mochi/gib.smt2" timeout 124
048 "clauses/lia_ea_red/mochi/gib2.smt2" timeout 124
049 "clauses/lia_ea_red/mochi/hors.smt2" 1.005422575 0
050 "clauses/lia_ea_red/mochi/hrec.smt2" 1.050527664 0
051 "clauses/lia_ea_red/mochi/inc.smt2" 1.030232743 0
052 "clauses/lia_ea_red/mochi/inc3.smt2" 1.541610707 0
053 "clauses/lia_ea_red/mochi/inc4.smt2" 1.808757852 0
054 "clauses/lia_ea_red/mochi/intro1.smt2" 0.751694057 0
055 "clauses/lia_ea_red/mochi/intro2.smt2" 0.749783986 0
056 "clauses/lia_ea_red/mochi/intro3.smt2" 0.751801217 0
057 "clauses/lia_ea_red/mochi/kmp.smt2" timeout 124
058 "clauses/lia_ea_red/mochi/lock.smt2" 0.752404172 0
059 "clauses/lia_ea_red/mochi/map.smt2" 1.026572260 0
060 "clauses/lia_ea_red/mochi/map_map.smt2" 1.188163574 0
061 "clauses/lia_ea_red/mochi/max.smt2" 0.759383109 0
062 "clauses/lia_ea_red/mochi/mc91.smt2" 1.016172918 0
063 "clauses/lia_ea_red/mochi/mc91_95.smt2" 1.085485490 0
064 "clauses/lia_ea_red/mochi/mc91_98.smt2" 1.123162853 0
065 "clauses/lia_ea_red/mochi/mc91_99.smt2" 1.096943414 0
066 "clauses/lia_ea_red/mochi/mc91_cps.smt2" 1.031195238 0
067 "clauses/lia_ea_red/mochi/mult.smt2" 1.032320960 0
068 "clauses/lia_ea_red/mochi/neg1.smt2" 0.908078897 10
069 "clauses/lia_ea_red/mochi/neg2.smt2" 0.821938276 0
070 "clauses/lia_ea_red/mochi/queen.smt2" 60.472591681 0
071 "clauses/lia_ea_red/mochi/recursive.smt2" 1.041473816 0
072 "clauses/lia_ea_red/mochi/repeat.smt2" 1.020770045 0
