hoice Red EA {
  short: hoice_red_ea
  graph: hoice Red EA
  cmd: "hoice"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Safe
safe="0"
# Unsafe
unsafe="10"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 0, safe, Safe
  success: 10, unsafe, Unsafe
}
timeout: 100.000000000
#
000 "clauses/lia/fpice/inductive.smt2" 0.067029635 0
001 "clauses/lia/fpice/inductive2.smt2" 0.024433701 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.031032048 0
003 "clauses/lia/fpice/inductive3.smt2" 0.023141395 0
004 "clauses/lia/fpice/inductive4.smt2" 0.130343853 0
005 "clauses/lia/fpice/inductive5.smt2" 0.023663116 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.002665357 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.002957060 0
008 "clauses/lia/fpice/inductive6.smt2" 0.002812564 0
009 "clauses/lia/fpice/repeat.smt2" 0.040678611 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.050227637 0
010 "clauses/lia/mochi/a-copy-print.smt2" 0.224080949 0
012 "clauses/lia/mochi/a-init.smt2" 0.196353992 0
013 "clauses/lia/mochi/a-max.smt2" 0.161164840 0
015 "clauses/lia/mochi/apply.smt2" 0.026193530 10
014 "clauses/lia/mochi/ack.smt2" 0.372874263 0
016 "clauses/lia/mochi/array_init.smt2" 0.232763634 0
017 "clauses/lia/mochi/bcopy.smt2" 0.093692841 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.053366117 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.044032651 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.023564207 0
021 "clauses/lia/mochi/bcopy5.smt2" 0.079211348 0
022 "clauses/lia/mochi/bsearch.smt2" 0.083358098 0
023 "clauses/lia/mochi/copy_intro.smt2" 0.034180835 0
024 "clauses/lia/mochi/dotprod.smt2" 0.455698662 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.023570379 0
026 "clauses/lia/mochi/dotprod3.smt2" 0.053035978 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.135176052 0
028 "clauses/lia/mochi/dotprod5.smt2" 0.081029414 0
029 "clauses/lia/mochi/dotprod_lin.smt2" 0.060207078 0
031 "clauses/lia/mochi/enc-rev_append.smt2" 0.039677597 0
030 "clauses/lia/mochi/enc-rev_accum.smt2" timeout 124
032 "clauses/lia/mochi/enc-zip.smt2" 0.034047631 0
033 "clauses/lia/mochi/enc-zip3.smt2" 0.030121777 0
034 "clauses/lia/mochi/enc-zip4.smt2" 0.034258701 0
035 "clauses/lia/mochi/enc-zip_map.smt2" 0.042722702 0
036 "clauses/lia/mochi/enc-zip_map2.smt2" 0.059582011 0
037 "clauses/lia/mochi/enc-zip_unzip.smt2" 0.216835089 0
038 "clauses/lia/mochi/enc-zipmap.smt2" 0.059793405 0
039 "clauses/lia/mochi/exc-fact.smt2" 0.009319362 0
040 "clauses/lia/mochi/exc-simple.smt2" 0.002734454 0
041 "clauses/lia/mochi/exception.smt2" 0.002834183 0
042 "clauses/lia/mochi/fact_exn.smt2" 0.009211755 0
043 "clauses/lia/mochi/fib.smt2" 0.049015261 0
045 "clauses/lia/mochi/flow.smt2" 0.001932705 0
044 "clauses/lia/mochi/file.smt2" 0.114406393 0
046 "clauses/lia/mochi/fxx.smt2" 0.002987102 0
047 "clauses/lia/mochi/gib.smt2" 0.122630942 0
048 "clauses/lia/mochi/gib2.smt2" 0.030168977 0
049 "clauses/lia/mochi/hors.smt2" 0.022545775 0
050 "clauses/lia/mochi/hrec.smt2" 0.084919684 0
051 "clauses/lia/mochi/inc.smt2" 0.023598220 0
052 "clauses/lia/mochi/inc3.smt2" 0.043577709 0
053 "clauses/lia/mochi/inc4.smt2" 0.051307943 0
054 "clauses/lia/mochi/intro1.smt2" 0.065886627 0
055 "clauses/lia/mochi/intro2.smt2" 0.002393353 0
056 "clauses/lia/mochi/intro3.smt2" 0.002386936 0
058 "clauses/lia/mochi/lock.smt2" 0.001903013 0
059 "clauses/lia/mochi/map.smt2" 0.024776248 0
057 "clauses/lia/mochi/kmp.smt2" timeout 124
060 "clauses/lia/mochi/map_map.smt2" 0.033897487 0
061 "clauses/lia/mochi/max.smt2" 0.001953680 0
062 "clauses/lia/mochi/mc91.smt2" 0.188406038 0
063 "clauses/lia/mochi/mc91_95.smt2" 0.541319337 0
064 "clauses/lia/mochi/mc91_98.smt2" 0.300670528 0
065 "clauses/lia/mochi/mc91_99.smt2" 0.198876538 0
067 "clauses/lia/mochi/mult.smt2" 0.031808799 0
066 "clauses/lia/mochi/mc91_cps.smt2" 0.272612234 0
068 "clauses/lia/mochi/neg1.smt2" 0.026344235 10
069 "clauses/lia/mochi/neg2.smt2" 0.001840574 0
070 "clauses/lia/mochi/queen.smt2" 2.918096786 0
071 "clauses/lia/mochi/recursive.smt2" 0.089393834 0
072 "clauses/lia/mochi/repeat.smt2" 0.043523566 0
073 "clauses/lia/mochi/repeat4.smt2" 0.071117056 0
074 "clauses/lia/mochi/sigma_sum.smt2" 0.042433809 0
075 "clauses/lia/mochi/sum.smt2" 0.048862192 0
076 "clauses/lia/mochi/sum2.smt2" 0.045766252 0
077 "clauses/lia/mochi/sum3.smt2" 0.057395856 0
078 "clauses/lia/mochi/sum4.smt2" 0.116029014 0
079 "clauses/lia/mochi/sum_cps.smt2" 0.027031151 0
080 "clauses/lia/mochi/sum_intro.smt2" 0.022025914 0
081 "clauses/lia/mochi/twice.smt2" 0.002445218 0
082 "clauses/lia/termination/Ackermann00.smt2" 0.011432216 0
083 "clauses/lia/termination/Ackermann01.smt2" 0.012049017 0
085 "clauses/lia/termination/Ackermann03.smt2" 0.026165273 0
086 "clauses/lia/termination/Ackermann04.smt2" 7.316036093 0
087 "clauses/lia/termination/Ackermann05.smt2" 4.019440252 0
084 "clauses/lia/termination/Ackermann02.smt2" 15.141596540 0
089 "clauses/lia/termination/alias_partial00.smt2" 0.022820665 0
090 "clauses/lia/termination/alias_partial01.smt2" 0.008712346 0
091 "clauses/lia/termination/alias_partial02.smt2" 0.008219848 0
