z3 auto {
  short: z3_auto
  graph: z3 auto
  cmd: "z3"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^unknown" | wc -l | tr -d ' '` -ne 0 ] \
|| [ `cat $out | grep -e "^(error" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit 2
elif [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  # if [ `echo "$?"` -ne 0 ] ; then
  #   exit 2
  # fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "clauses/lia/fpice/inductive.smt2" 0.026745179 0
001 "clauses/lia/fpice/inductive2.smt2" 0.011122058 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.011762858 0
003 "clauses/lia/fpice/inductive3.smt2" 0.011004928 0
004 "clauses/lia/fpice/inductive4.smt2" 0.016436420 0
005 "clauses/lia/fpice/inductive5.smt2" 0.014429586 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.009202658 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.011280545 0
008 "clauses/lia/fpice/inductive6.smt2" 0.005235256 0
010 "clauses/lia/mochi/a-copy-print.smt2" 0.213445601 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.119500558 0
012 "clauses/lia/mochi/a-init.smt2" 0.072569700 0
013 "clauses/lia/mochi/a-max.smt2" 0.029309450 0
014 "clauses/lia/mochi/ack.smt2" 0.011607090 0
015 "clauses/lia/mochi/apply.smt2" 0.026014127 10
016 "clauses/lia/mochi/array_init.smt2" 0.085922461 0
017 "clauses/lia/mochi/bcopy.smt2" 0.026959381 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.118200057 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.016156188 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.011794104 0
021 "clauses/lia/mochi/bcopy5.smt2" 0.207744504 0
022 "clauses/lia/mochi/bsearch.smt2" 0.029434736 0
009 "clauses/lia/fpice/repeat.smt2" timeout 124
024 "clauses/lia/mochi/dotprod.smt2" 0.045249290 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.012207299 0
