z3 pdr {
  short: z3_pdr
  graph: z3 pdr
  cmd: "z3 fixedpoint.engine=pdr"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^unknown" | wc -l | tr -d ' '` -ne 0 ] \
|| [ `cat $out | grep -e "^(error" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit 2
elif [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  # if [ `echo "$?"` -ne 0 ] ; then
  #   exit 2
  # fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "clauses/lia/fpice/inductive.smt2" 0.026559678 0
001 "clauses/lia/fpice/inductive2.smt2" 0.011421839 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.012058632 0
003 "clauses/lia/fpice/inductive3.smt2" 0.011505535 0
004 "clauses/lia/fpice/inductive4.smt2" 0.017107660 0
005 "clauses/lia/fpice/inductive5.smt2" 0.014938781 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.008999963 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.011644526 0
008 "clauses/lia/fpice/inductive6.smt2" 0.005252713 0
010 "clauses/lia/mochi/a-copy-print.smt2" 0.212464180 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.114692027 0
012 "clauses/lia/mochi/a-init.smt2" 0.086697976 0
013 "clauses/lia/mochi/a-max.smt2" 0.028076685 0
014 "clauses/lia/mochi/ack.smt2" 0.011649010 0
015 "clauses/lia/mochi/apply.smt2" 0.020742225 10
016 "clauses/lia/mochi/array_init.smt2" 0.075449426 0
017 "clauses/lia/mochi/bcopy.smt2" 0.027358674 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.096783837 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.016344404 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.034632792 0
021 "clauses/lia/mochi/bcopy5.smt2" 0.293052525 0
022 "clauses/lia/mochi/bsearch.smt2" 0.031154073 0
009 "clauses/lia/fpice/repeat.smt2" timeout 124
024 "clauses/lia/mochi/dotprod.smt2" 0.045775594 0
