z3 spacer {
  short: z3_spacer
  graph: z3 spacer
  cmd: "z3 fixedpoint.engine=spacer"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^unknown" | wc -l | tr -d ' '` -ne 0 ] \
|| [ `cat $out | grep -e "^(error" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit 2
elif [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  # hoice --check $out $bench
  # if [ `echo "$?"` -ne 0 ] ; then
  #   exit 2
  # fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
000 "clauses/lia/fpice/inductive.smt2" 0.032490117 0
001 "clauses/lia/fpice/inductive2.smt2" 0.011541634 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.012314240 0
003 "clauses/lia/fpice/inductive3.smt2" 0.010694277 0
004 "clauses/lia/fpice/inductive4.smt2" 0.017332094 0
005 "clauses/lia/fpice/inductive5.smt2" 0.011499656 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.008512337 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.011263148 0
008 "clauses/lia/fpice/inductive6.smt2" 0.005482614 0
009 "clauses/lia/fpice/repeat.smt2" 0.012096518 0
010 "clauses/lia/mochi/a-copy-print.smt2" 0.218198414 0
011 "clauses/lia/mochi/a-dotprod.smt2" 0.113656577 0
012 "clauses/lia/mochi/a-init.smt2" 0.071219655 0
013 "clauses/lia/mochi/a-max.smt2" 0.032875368 0
014 "clauses/lia/mochi/ack.smt2" 0.013819579 0
015 "clauses/lia/mochi/apply.smt2" 0.021373674 10
016 "clauses/lia/mochi/array_init.smt2" 0.135604281 0
017 "clauses/lia/mochi/bcopy.smt2" 0.027239695 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.096444427 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.032525120 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.011485122 0
021 "clauses/lia/mochi/bcopy5.smt2" 0.275998343 0
022 "clauses/lia/mochi/bsearch.smt2" 0.108049580 0
024 "clauses/lia/mochi/dotprod.smt2" 0.039841164 0
