z3 duality {
  short: z3_duality
  graph: z3 duality
  cmd: "z3 fixedpoint.engine=duality"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
003 "clauses/lia/fpice/inductive3.smt2" 0.035765592 0
002 "clauses/lia/fpice/inductive3-2.smt2" 0.053865547 0
001 "clauses/lia/fpice/inductive2.smt2" 0.036543199 0
005 "clauses/lia/fpice/inductive5.smt2" 0.037524156 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.050044792 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.058551147 0
004 "clauses/lia/fpice/inductive4.smt2" 0.117894695 0
009 "clauses/lia/fpice/repeat.smt2" 0.121501281 0
008 "clauses/lia/fpice/inductive6.smt2" 0.044213939 0
014 "clauses/lia/mochi/ack.smt2" 0.081936304 0
015 "clauses/lia/mochi/apply.smt2" 0.130483257 10
000 "clauses/lia/fpice/inductive.smt2" 1.559655066 0
019 "clauses/lia/mochi/bcopy3.smt2" 0.098133441 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.050988054 0
025 "clauses/lia/mochi/dotprod2.smt2" 0.151611043 0
011 "clauses/lia/mochi/a-dotprod.smt2" 10.498601781 0
026 "clauses/lia/mochi/dotprod3.smt2" 21.844176233 0
027 "clauses/lia/mochi/dotprod4.smt2" 17.937971371 0
010 "clauses/lia/mochi/a-copy-print.smt2" timeout 124
013 "clauses/lia/mochi/a-max.smt2" timeout 124
016 "clauses/lia/mochi/array_init.smt2" timeout 124
023 "clauses/lia/mochi/copy_intro.smt2" 0.078385505 0
030 "clauses/lia/mochi/enc-rev_accum.smt2" 0.331132839 0
018 "clauses/lia/mochi/bcopy2.smt2" timeout 124
017 "clauses/lia/mochi/bcopy.smt2" timeout 124
012 "clauses/lia/mochi/a-init.smt2" timeout 124
021 "clauses/lia/mochi/bcopy5.smt2" timeout 124
032 "clauses/lia/mochi/enc-zip.smt2" 0.043805355 0
022 "clauses/lia/mochi/bsearch.smt2" 3.636347296 0
024 "clauses/lia/mochi/dotprod.smt2" timeout 124
029 "clauses/lia/mochi/dotprod_lin.smt2" timeout 124
033 "clauses/lia/mochi/enc-zip3.smt2" 0.086052799 0
028 "clauses/lia/mochi/dotprod5.smt2" timeout 124
036 "clauses/lia/mochi/enc-zip_map2.smt2" 0.475239776 0
034 "clauses/lia/mochi/enc-zip4.smt2" 0.070744503 0
031 "clauses/lia/mochi/enc-rev_append.smt2" timeout 124
039 "clauses/lia/mochi/exc-fact.smt2" 0.041018890 0
041 "clauses/lia/mochi/exception.smt2" 0.024973868 0
042 "clauses/lia/mochi/fact_exn.smt2" 0.045537289 0
043 "clauses/lia/mochi/fib.smt2" 0.033550434 0
035 "clauses/lia/mochi/enc-zip_map.smt2" timeout 124
038 "clauses/lia/mochi/enc-zipmap.smt2" 0.300452651 0
045 "clauses/lia/mochi/flow.smt2" 0.013806493 0
047 "clauses/lia/mochi/gib.smt2" 0.076577599 0
046 "clauses/lia/mochi/fxx.smt2" 0.013510962 0
048 "clauses/lia/mochi/gib2.smt2" 0.202385058 0
050 "clauses/lia/mochi/hrec.smt2" 0.120049104 0
