z3 spacer {
  short: z3_spacer
  graph: z3 spacer
  cmd: "z3 fixedpoint.engine=spacer"
  validator: ```
#!/bin/bash
bench="$1"
code="$2"
out="$3"
err="$4"

# Unsafe
unsafe="10"
# Safe
safe="0"

if [ `cat $out | grep -e "^sat" | wc -l | tr -d ' '` -ne 0 ] ; then
  hoice --check $out $bench
  if [ `echo "$?"` -ne 0 ] ; then
    exit 2
  fi
  exit $safe
elif [ `cat $out | grep -e "^unsat" | wc -l | tr -d ' '` -ne 0 ] ; then
  exit $unsafe
else
  exit 2
fi
  
  ```
}
validators {
  success: 10, unsafe, Unsafe
  success: 0, safe, Safe
}
timeout: 100.000000000
#
002 "clauses/lia/fpice/inductive3-2.smt2" 0.012724008 0
003 "clauses/lia/fpice/inductive3.smt2" 0.020243684 0
001 "clauses/lia/fpice/inductive2.smt2" 0.027220114 0
006 "clauses/lia/fpice/inductive6-2.smt2" 0.015569814 0
000 "clauses/lia/fpice/inductive.smt2" 0.062127996 0
005 "clauses/lia/fpice/inductive5.smt2" 0.021681483 0
007 "clauses/lia/fpice/inductive6-3.smt2" 0.016085265 0
004 "clauses/lia/fpice/inductive4.smt2" 0.034579804 0
009 "clauses/lia/fpice/repeat.smt2" 0.033440048 0
008 "clauses/lia/fpice/inductive6.smt2" 0.009084906 0
014 "clauses/lia/mochi/ack.smt2" 0.027331270 0
015 "clauses/lia/mochi/apply.smt2" 0.014614373 10
011 "clauses/lia/mochi/a-dotprod.smt2" 0.032112249 0
013 "clauses/lia/mochi/a-max.smt2" 0.144223024 0
018 "clauses/lia/mochi/bcopy2.smt2" 0.050838258 0
010 "clauses/lia/mochi/a-copy-print.smt2" error 2
019 "clauses/lia/mochi/bcopy3.smt2" error 2
017 "clauses/lia/mochi/bcopy.smt2" 0.095587364 0
020 "clauses/lia/mochi/bcopy4.smt2" 0.014680583 0
012 "clauses/lia/mochi/a-init.smt2" 0.133797960 0
021 "clauses/lia/mochi/bcopy5.smt2" 0.181491146 0
024 "clauses/lia/mochi/dotprod.smt2" error 2
025 "clauses/lia/mochi/dotprod2.smt2" 0.075945927 0
026 "clauses/lia/mochi/dotprod3.smt2" 0.029589319 0
027 "clauses/lia/mochi/dotprod4.smt2" 0.029796574 0
016 "clauses/lia/mochi/array_init.smt2" 28.396956984 0
029 "clauses/lia/mochi/dotprod_lin.smt2" 0.113365232 0
028 "clauses/lia/mochi/dotprod5.smt2" 0.267507324 0
030 "clauses/lia/mochi/enc-rev_accum.smt2" 0.019106765 0
032 "clauses/lia/mochi/enc-zip.smt2" 0.028515006 0
023 "clauses/lia/mochi/copy_intro.smt2" timeout 124
033 "clauses/lia/mochi/enc-zip3.smt2" 0.021529085 0
031 "clauses/lia/mochi/enc-rev_append.smt2" timeout 124
034 "clauses/lia/mochi/enc-zip4.smt2" 0.038451465 0
039 "clauses/lia/mochi/exc-fact.smt2" 0.010644631 0
041 "clauses/lia/mochi/exception.smt2" 0.007569945 0
042 "clauses/lia/mochi/fact_exn.smt2" 0.010636349 0
035 "clauses/lia/mochi/enc-zip_map.smt2" timeout 124
043 "clauses/lia/mochi/fib.smt2" 0.014206557 0
036 "clauses/lia/mochi/enc-zip_map2.smt2" timeout 124
045 "clauses/lia/mochi/flow.smt2" error 2
047 "clauses/lia/mochi/gib.smt2" 0.018424174 0
037 "clauses/lia/mochi/enc-zip_unzip.smt2" timeout 124
048 "clauses/lia/mochi/gib2.smt2" 0.016341844 0
044 "clauses/lia/mochi/file.smt2" 0.260024008 0
046 "clauses/lia/mochi/fxx.smt2" error 2
050 "clauses/lia/mochi/hrec.smt2" 0.020292361 0
